"TokenNumber","TokenPadded","Title","WorkID","Range","SourceImagePath","SourceBytes","ImagePath","ImageFileName","DestinationImagePath","ItemPage","PublicPageURL","OpenSeaItemURL","Status","Note"
"5001","5001","Light Cult Crypto Club #5001","RE-006811","5001-5100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-5001.png","14706","images/5001-5100/LCCC-5001.png","LCCC-5001.png","D:\github\ron-english-light-cult-5001-6000\images\5001-5100\LCCC-5001.png","items/lccc-5001.html","https://ronenglish-archive.github.io/ron-english-light-cult-5001-6000/items/lccc-5001.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/5001","OK",""
"5002","5002","Light Cult Crypto Club #5002","RE-006812","5001-5100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-5002.png","7539","images/5001-5100/LCCC-5002.png","LCCC-5002.png","D:\github\ron-english-light-cult-5001-6000\images\5001-5100\LCCC-5002.png","items/lccc-5002.html","https://ronenglish-archive.github.io/ron-english-light-cult-5001-6000/items/lccc-5002.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/5002","OK",""
"5003","5003","Light Cult Crypto Club #5003","RE-006813","5001-5100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-5003.png","8329","images/5001-5100/LCCC-5003.png","LCCC-5003.png","D:\github\ron-english-light-cult-5001-6000\images\5001-5100\LCCC-5003.png","items/lccc-5003.html","https://ronenglish-archive.github.io/ron-english-light-cult-5001-6000/items/lccc-5003.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/5003","OK",""
"5004","5004","Light Cult Crypto Club #5004","RE-006814","5001-5100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-5004.png","15709","images/5001-5100/LCCC-5004.png","LCCC-5004.png","D:\github\ron-english-light-cult-5001-6000\images\5001-5100\LCCC-5004.png","items/lccc-5004.html","https://ronenglish-archive.github.io/ron-english-light-cult-5001-6000/items/lccc-5004.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/5004","OK",""
"5005","5005","Light Cult Crypto Club #5005","RE-006815","5001-5100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-5005.png","5288","images/5001-5100/LCCC-5005.png","LCCC-5005.png","D:\github\ron-english-light-cult-5001-6000\images\5001-5100\LCCC-5005.png","items/lccc-5005.html","https://ronenglish-archive.github.io/ron-english-light-cult-5001-6000/items/lccc-5005.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/5005","OK",""
"5006","5006","Light Cult Crypto Club #5006","RE-006816","5001-5100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-5006.png","10547","images/5001-5100/LCCC-5006.png","LCCC-5006.png","D:\github\ron-english-light-cult-5001-6000\images\5001-5100\LCCC-5006.png","items/lccc-5006.html","https://ronenglish-archive.github.io/ron-english-light-cult-5001-6000/items/lccc-5006.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/5006","OK",""
"5007","5007","Light Cult Crypto Club #5007","RE-006817","5001-5100","","","","","","items/lccc-5007.html","https://ronenglish-archive.github.io/ron-english-light-cult-5001-6000/items/lccc-5007.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/5007","MISSING SOURCE IMAGE","No source image found for token #5007"
"5008","5008","Light Cult Crypto Club #5008","RE-006818","5001-5100","","","","","","items/lccc-5008.html","https://ronenglish-archive.github.io/ron-english-light-cult-5001-6000/items/lccc-5008.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/5008","MISSING SOURCE IMAGE","No source image found for token #5008"
"5009","5009","Light Cult Crypto Club #5009","RE-006819","5001-5100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-5009.png","13826","images/5001-5100/LCCC-5009.png","LCCC-5009.png","D:\github\ron-english-light-cult-5001-6000\images\5001-5100\LCCC-5009.png","items/lccc-5009.html","https://ronenglish-archive.github.io/ron-english-light-cult-5001-6000/items/lccc-5009.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/5009","OK",""
"5010","5010","Light Cult Crypto Club #5010","RE-006820","5001-5100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-5010.png","12522","images/5001-5100/LCCC-5010.png","LCCC-5010.png","D:\github\ron-english-light-cult-5001-6000\images\5001-5100\LCCC-5010.png","items/lccc-5010.html","https://ronenglish-archive.github.io/ron-english-light-cult-5001-6000/items/lccc-5010.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/5010","OK",""
